ObtenRelojDatosEmps X, 70, '2016-03-08', '17:11:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-08', '17:11:57', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-08', '17:12:01', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-08', '17:12:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-08', '17:12:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-08', '22:51:22', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-08', '22:51:25', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-08', '22:51:31', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-08', '23:13:10', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-08', '23:13:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-08', '23:13:34', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-08', '23:13:37', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-08', '23:16:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-09', '06:39:31', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-09', '06:39:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-09', '06:55:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-09', '06:55:19', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-09', '06:57:08', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-09', '06:59:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-09', '06:59:48', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-09', '07:00:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-09', '07:00:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-09', '07:02:19', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-09', '07:06:47', 'N', ' ', ' '
